"Unique Key","Created Date","Complaint Type",Descriptor,"Location Type","Incident Zip","Incident Address","Street Name","Cross Street 1","Cross Street 2","Intersection Street 1","Intersection Street 2","Address Type",City,Latitude,Longitude,Location,count(location)
15637107,"01/02/2010 11:23:09 PM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,11217,"622 DEGRAW STREET","DEGRAW STREET","3 AVENUE","4 AVENUE","","",ADDRESS,BROOKLYN,40.679154133157326,-73.98342992763081,"(40.679154133157326, -73.98342992763081)",1049
15696004,"01/11/2010 12:54:11 AM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,10009,"16 1 AVENUE","1 AVENUE","EAST 1 STREET","EAST 2 STREET","","",ADDRESS,"NEW YORK",40.72349367369547,-73.98825325266078,"(40.72349367369547, -73.98825325266078)",1001
16835724,"06/10/2010 02:44:20 AM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,11226,"1233 FLATBUSH AVENUE","FLATBUSH AVENUE","AVENUE D","NEWKIRK AVENUE","","",ADDRESS,BROOKLYN,40.64018174662485,-73.95530566958138,"(40.64018174662485, -73.95530566958138)",647
20412008,"05/13/2011 12:34:50 AM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,10032,"130 AUDOBON AVENUE","AUDOBON AVENUE","WEST 171 STREET","WEST 172 STREET","","",ADDRESS,"NEW YORK",40.842708163812766,-73.93675169432969,"(40.842708163812766, -73.93675169432969)",627
15628255,"12/31/2009 08:46:14 PM","Noise - Commercial","Loud Music/Party",Store/Commercial,10467,"731 BURKE AVENUE","BURKE AVENUE","CRUGER AVENUE","HOLLAND AVENUE","","",ADDRESS,BRONX,40.87142272526298,-73.86563870314788,"(40.87142272526298, -73.86563870314788)",474
17566526,"07/02/2010 03:27:31 PM","Noise - Commercial","Loud Music/Party",Store/Commercial,11206,"89 MOORE STREET","MOORE STREET","GRAHAM AVENUE","HUMBOLDT STREET","","",ADDRESS,BROOKLYN,40.703818970933284,-73.94207345177706,"(40.703818970933284, -73.94207345177706)",457
26406953,"10/01/2013 01:31:08 AM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,11372,"70-04 ROOSEVELT AVENUE","ROOSEVELT AVENUE","70 STREET","BQE WESTBOUND ENTRANCE 37 AVE","","",ADDRESS,"JACKSON HEIGHTS",40.7464285492033,-73.89534719745205,"(40.7464285492033, -73.89534719745205)",358
15633959,"01/01/2010 02:34:12 AM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,11415,"82-70 AUSTIN STREET","AUSTIN STREET","82 DRIVE","LEFFERTS BOULEVARD","","",ADDRESS,"KEW GARDENS",40.70963674601442,-73.83002487902884,"(40.70963674601442, -73.83002487902884)",304
15941022,"02/06/2010 01:18:24 AM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,10014,"234 WEST 4 STREET","WEST 4 STREET","WEST 10 STREET","CHARLES STREET","","",ADDRESS,"NEW YORK",40.73434974274908,-74.00300933150363,"(40.73434974274908, -74.00300933150363)",286
16400533,"04/09/2010 12:43:25 AM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,11106,"25-30 BROADWAY",BROADWAY,"CRESCENT STREET","29 STREET","","",ADDRESS,ASTORIA,40.763300973602725,-73.92820670637074,"(40.763300973602725, -73.92820670637074)",285
18662726,"09/11/2010 09:04:43 AM","Noise - Park","Loud Music/Party",Park/Playground,11220,"","","","","44 STREET","6 AVENUE",INTERSECTION,BROOKLYN,40.64713190020787,-74.00462341153786,"(40.64713190020787, -74.00462341153786)",260
16367604,"04/03/2010 03:23:10 AM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,10025,"929 COLUMBUS AVENUE","COLUMBUS AVENUE","WEST 105 STREET","WEST 106 STREET","","",ADDRESS,"NEW YORK",40.79892213493039,-73.963087287577,"(40.79892213493039, -73.963087287577)",260
16376348,"04/05/2010 10:52:35 PM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,11103,"36-11 30 AVENUE","30 AVENUE","36 STREET","37 STREET","","",ADDRESS,ASTORIA,40.76494318338899,-73.91720535750666,"(40.76494318338899, -73.91720535750666)",233
15628134,"12/31/2009 10:23:24 PM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,10014,"182 WEST 4 STREET","WEST 4 STREET","JONES STREET","BARROW STREET","","",ADDRESS,"NEW YORK",40.73249705846839,-74.0018329711023,"(40.73249705846839, -74.0018329711023)",222
20175830,"04/05/2011 11:38:38 PM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,11106,"25-27 BROADWAY",BROADWAY,"CRESCENT STREET","29 STREET","","",ADDRESS,ASTORIA,40.76331469056077,-73.92819586194034,"(40.76331469056077, -73.92819586194034)",212
25396982,"04/21/2013 01:42:46 AM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,10040,"186 DYCKMAN STREET","DYCKMAN STREET","SHERMAN AVENUE","VERMILYEA AVENUE","","",ADDRESS,"NEW YORK",40.86437703226751,-73.92653574970558,"(40.86437703226751, -73.92653574970558)",212
15627055,"12/31/2009 10:06:40 PM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,10027,"17 WEST 125 STREET","WEST 125 STREET","5 AVENUE","LENOX AVENUE","","",ADDRESS,"NEW YORK",40.80677214580863,-73.94308558575904,"(40.80677214580863, -73.94308558575904)",210
16903128,"06/20/2010 11:17:45 PM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,10019,"939 8 AVENUE","8 AVENUE","WEST 55 STREET","WEST 56 STREET","","",ADDRESS,"NEW YORK",40.765734804437116,-73.98360332757093,"(40.765734804437116, -73.98360332757093)",201
16046798,"02/20/2010 09:01:59 PM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,11238,"346 FRANKLIN AVENUE","FRANKLIN AVENUE","GREENE AVENUE","LEXINGTON AVENUE","","",ADDRESS,BROOKLYN,40.68729923234452,-73.95691110551964,"(40.68729923234452, -73.95691110551964)",198
15745049,"01/17/2010 01:17:19 AM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,10310,"163 DONGAN STREET","DONGAN STREET","CASTLETON AVENUE","WHITE PLACE","","",ADDRESS,"STATEN ISLAND",40.6335469788473,-74.12407536061238,"(40.6335469788473, -74.12407536061238)",196
15789496,"01/23/2010 06:21:22 PM","Noise - Street/Sidewalk","Loud Music/Party",Street/Sidewalk,10003,"","","","","EAST   15 STREET","UNION SQUARE WEST",INTERSECTION,"NEW YORK",40.73588925328537,-73.99120995092437,"(40.73588925328537, -73.99120995092437)",194
15641306,"01/03/2010 11:31:50 PM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,10034,"101 SHERMAN AVENUE","SHERMAN AVENUE","DYCKMAN STREET","ACADEMY STREET","","",ADDRESS,"NEW YORK",40.863851956918054,-73.92523119238143,"(40.863851956918054, -73.92523119238143)",189
21579599,"10/05/2011 12:24:54 AM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,11226,"1236 ROGERS AVENUE","ROGERS AVENUE","NEWKIRK AVENUE","FOSTER AVENUE","","",ADDRESS,BROOKLYN,40.639529600748716,-73.95128855589117,"(40.639529600748716, -73.95128855589117)",186
24683164,"12/28/2012 08:57:02 AM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,11218,"756 MCDONALD AVENUE","MCDONALD AVENUE","CORTELYOU ROAD","DITMAS AVENUE","","",ADDRESS,BROOKLYN,40.63597510716587,-73.97814064814625,"(40.63597510716587, -73.97814064814625)",183
25272797,"03/31/2013 03:45:05 AM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,11233,"310 MALCOLM X BOULEVARD","MALCOLM X BOULEVARD","MAC DONOUGH STREET","DECATUR STREET","","",ADDRESS,BROOKLYN,40.682306343859345,-73.92894289454478,"(40.682306343859345, -73.92894289454478)",183
15783855,"01/22/2010 09:25:26 PM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,11203,"3523 CHURCH AVENUE","CHURCH AVENUE","EAST 35 STREET","BROOKLYN AVENUE","","",ADDRESS,BROOKLYN,40.65108754537373,-73.94447252269869,"(40.65108754537373, -73.94447252269869)",180
16538853,"04/29/2010 12:56:41 AM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,10009,"62 AVENUE C","AVENUE C","EAST 4 STREET","EAST 5 STREET","","",ADDRESS,"NEW YORK",40.72261419868281,-73.97991606884368,"(40.72261419868281, -73.97991606884368)",176
22617429,"01/29/2012 11:46:32 PM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,10029,"154 EAST 112 STREET","EAST 112 STREET","LEXINGTON AVENUE","3 AVENUE","","",ADDRESS,"NEW YORK",40.79593875950957,-73.94318875061997,"(40.79593875950957, -73.94318875061997)",173
27983689,"05/05/2014 08:17:23 PM","Noise - Commercial","Loud Music/Party",Store/Commercial,10034,"444 WEST 204TH STREET","WEST 204TH STREET","","","","",LATLONG,"NEW YORK",40.86233869953172,-73.91976301012406,"(40.86233869953172, -73.91976301012406)",171
23050804,"04/12/2012 10:54:42 PM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,10036,"251 WEST 48 STREET","WEST 48 STREET",BROADWAY,"8 AVENUE","","",ADDRESS,"NEW YORK",40.76058322950115,-73.98592204392392,"(40.76058322950115, -73.98592204392392)",169
21464005,"09/18/2011 08:47:43 AM","Noise - Park","Loud Music/Party",Park/Playground,11232,"","","","","41 STREET","7 AVENUE",INTERSECTION,BROOKLYN,40.64748606833156,-74.00066306487788,"(40.64748606833156, -74.00066306487788)",164
15633261,"01/01/2010 05:00:15 AM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,11234,"5023 AVENUE N","AVENUE N","UTICA AVENUE","EAST 51 STREET","","",ADDRESS,BROOKLYN,40.618977209787644,-73.9265717057739,"(40.618977209787644, -73.9265717057739)",162
15806569,"01/26/2010 03:43:20 AM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,10034,"247 DYCKMAN STREET","DYCKMAN STREET","SEAMAN AVENUE","PAYSON AVENUE","","",ADDRESS,"NEW YORK",40.86637625588829,-73.92825812322728,"(40.86637625588829, -73.92825812322728)",162
15835426,"01/30/2010 02:24:22 AM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,11434,"126-19 MERRICK BOULEVARD","MERRICK BOULEVARD","126 AVENUE","SELOVER ROAD","","",ADDRESS,JAMAICA,40.68187916628095,-73.76608030308165,"(40.68187916628095, -73.76608030308165)",153
16854734,"06/13/2010 11:51:55 PM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,11225,"545 FLATBUSH AVENUE","FLATBUSH AVENUE","LINCOLN ROAD",BEND,"","",ADDRESS,BROOKLYN,40.66064330544147,-73.96062996504574,"(40.66064330544147, -73.96062996504574)",151
15749434,"01/17/2010 05:34:47 PM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,10009,"510 EAST 11 STREET","EAST 11 STREET","AVENUE A","AVENUE B","","",ADDRESS,"NEW YORK",40.728221967714056,-73.98128180296732,"(40.728221967714056, -73.98128180296732)",150
19063330,"11/06/2010 11:00:47 PM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,10024,"503 COLUMBUS AVENUE","COLUMBUS AVENUE","WEST 84 STREET","WEST 85 STREET","","",ADDRESS,"NEW YORK",40.78536042083817,-73.97298193186121,"(40.78536042083817, -73.97298193186121)",146
