	Address	Noise Count	Latitude	Longitude	Venues
0	622 DEGRAW STREET	1049.0	40.679154	-73.98343	[('Brooklyn Boulders', 34349), ('Littlefield', 8892), ('Crossfit South Brooklyn', 6023), ('Lucky 13 Saloon', 4455), ('South Brooklyn Weightlifting Club', 636)]
1	16 1 AVENUE	1001.0	40.723494	-73.988253	"[('d.b.a.', 15564), ('One & One', 14777), (""Lil' Frankie's"", 11542), ('Russ & Daughters', 11528), ('Macondo', 10301)]"
2	1233 FLATBUSH AVENUE	647.0	40.640182	-73.955306	[('C-Town Supermarkets', 538), ('Captain Gyro & Seafood', 211), ('F1 Lounge', 211), ('el ranchito poblano', 166), ('Ultimate Bakery', 79)]
3	130 AUDOBON AVENUE	627.0	40.842708	-73.936752	[('Highbridge Manor', 771), ('155 Audubon Ave.', 614), ('Barberia y salon', 160), ('Iglesia Oasis', 147), ('Osscruz Media', 123)]
4	731 BURKE AVENUE	474.0	40.871423	-73.865639	"[('Three Boys from Italy Pizzeria', 949), ('Chelsea Prep School PS M33', 907), ('Burke and White Plains', 859), ('New York City Department Of Education', 835), (""Feroza's Roti Shop"", 243)]"
5	89 MOORE STREET	457.0	40.703819	-73.942073	[('Graham Avenue-Avenue of Puerto Rico', 1079), ('The Seigel Lofts', 811), ('Bank of America', 564), ('Princessa Bakery', 558), ('Moore Street Market - La Marqueta De Williamsburg', 540)]
6	70-04 ROOSEVELT AVENUE	358.0	40.746429	-73.895347	"[(""Krystal's Cafe"", 4509), ('Ihawan', 3359), (""Renee's Kitchenette & Grille"", 1679), ('Phil-Am Market', 1452), ('Fiesta Grill', 853)]"
7	82-70 AUSTIN STREET	304.0	40.709637	-73.830025	"[('Starbucks', 10298), ('LIRR - Kew Gardens Station', 8149), (""Dani's House of Pizza"", 5597), (""Austin's Ale House"", 5229), ('Kew Gardens Cinema', 2537)]"
8	234 WEST 4 STREET	286.0	40.73435	-74.003009	[('West Village', 26642), ('Fat Cat', 26105), ('Wilfie & Nell', 22146), ('Stonewall Inn', 19465), ('The Duplex', 13970)]
9	25-30 BROADWAY	285.0	40.763301	-73.928207	"[('The Strand Smokehouse', 9511), ('Synergy Fitness Clubs', 6049), ('Bakeway NYC', 2799), (""Sac's Place"", 2619), (""Dunkin' Donuts"", 2077)]"
10	44 STREET AND 6 AVENUE	260.0	40.647132	-74.004623	[('Sunset Park', 9663), ('Tacos Matamoros', 2318), ('Key Food', 709), ('La Gran Via Bakery', 459), ('Pool', 362)]
11	929 COLUMBUS AVENUE	260.0	40.798922	-73.963087	[('Manhattan Valley', 2417), ('Lura', 1143), ('Saiguette', 944), ('Gourmet Deli', 830), ('Jewish Home & Hospital', 786)]
12	36-11 30 AVENUE	233.0	40.764943	-73.917205	[('Brooklyn Bagel & Coffee Co.', 8797), ('Grand Caf', 7406), ('Avenue Cafe', 5604), ('Sugar Freak', 5598), ('William Hallet', 5078)]
13	182 WEST 4 STREET	222.0	40.732497	-74.001833	[('Down the Hatch', 18127), ('Joseph Leonard', 11903), ('Perilla', 9309), ('The Four-Faced Liar', 8918), ('Barrow Street Ale House', 8356)]
14	186 DYCKMAN STREET	212.0	40.864377	-73.926536	"[('Planet Fitness', 8788), ('Duane Reade', 984), ('Uptown Social', 779), ('Chase Bank', 713), (""Dan's Supermarket #2"", 459)]"
15	25-27 BROADWAY	212.0	40.763315	-73.928196	"[('The Strand Smokehouse', 9511), ('Synergy Fitness Clubs', 6049), ('Bakeway NYC', 2799), (""Sac's Place"", 2619), (""Dunkin' Donuts"", 2077)]"
16	17 WEST 125 STREET	210.0	40.806772	-73.943086	"[(""Applebee's"", 2765), ('National Black Theatre', 891), ('Taco Bell', 595), (""Carol's Daughter Flagship"", 583), ('Clinton Foundation', 479)]"
17	939 8 AVENUE	201.0	40.765735	-73.983603	"[('Hearst Tower', 24062), (""McGee's Pub"", 15755), ('Chipotle Mexican Grill', 8719), ('Barcelona Bar', 7991), ('Yakitori Totto', 6718)]"
